"0000000003";"gf";;;;"g";;;;;;;;;-9999999999,00;;;0,00;0;;;;;;1;2;0;;;-9999999999,00;;;;;;
"0000000004";"Gastos de gestión";;;;"Gastos de gestión:
Por modificación de reserva confirmada: 50 € / reserva.
Por cancelación: 50 € / reserva + 100 € / persona";;"SRV";"000108";"000108";"01";"04";"AG";"000006";0,00;;;0,00;-1;;;"0008";;;;;0;;;-9999999999,00;;;;;;
"0000000005";"Alquiler de bicicleta";;;;"Cliente
Fecha:
Hora
Precio por bicicleta";;;;;;;;;-9999999999,00;;;0,00;0;;"02";;;;7;;0;;;-9999999999,00;;;;;;
"0000000006";"Spain: Camino Santiago Guided from León";"A must in Spain";"Possibly Europe’s oldest tourist trail! The route features some of Spain’s most striking countryside and unforgettable architecture: an unbeatable cultural and historical trip. The tour from Leon is designed to be fully ride-able, cathedral to cathedral . ..From 1760 euros ";"The westernmost stages of the Camino de Santiago World Heritage site take one across the rolling plains of Castilla-León, the historic seat of the Spanish Empire, over the mountains into the more isolated and culturally independent Galicia. Our route runs through the north of Spain and allows us views of the most breathtaking landscapes, the most unique monuments and the most picturesque villages in this part of our country. We will meet pilgrims every step of the way, from every corner of the globe, each drawn to the Camino experience for their own reasons, with their own hopes and goals for their adventures. Meet new people at every opportunity and share their stories and wisdom gained from their pilgrimages. Our guided tour from León offers 310 kilometers of riding, punctuated with the finest samplings of Castilian and Galician gastronomy and wines, and the most luxuriously comfortable hotels every at the end of each of the six stages. 
Our hotels are selected from the finest Spain has to offer. Your accommodations strike a perfect balance between evocative historical contexts and quality of modern comfort and design. Whether it be midnight snacks from room service, a spa treatment at the end of long day, a swim, or an hour in the business center to touch base with your family back home, you will have it all! 
";"Travel date: 
Guided tour Leon- Santiago
1760€ in hotels 4*-3* / 210 € single supplement
2040€ in Paradores, ss 260€";;"VCP";"000108";"000108";"01";"04";"AG";"000006";1600,00;;;1760,00;-1;2;;"0001";;"What's INCLUDED?:
Accommodation, breakfast, 6 dinners with wine, 5 lunches, luggage transfers, transfers on the trip, quality touring bike (road bike optional), guide and insurance. 
Paradores: €1840";11;11;-1;1/1/2013 0:00:00;31/12/2013 0:00:00;1760,00;;;"";;"7 days/6 nights";"
"
"0000000007";"Organización actividad";;;;"Organización y desarrollo actividad";;;;;;;;;0,00;;;0,00;0;;"02";;;;;;0;;;-9999999999,00;;;;;;
"0000000009";"Holanda: Norte de Amsterdam";"Lo mejor de Holanda en bici";"Bello recorrido por lo más típico de Holanda. Molinos, quesos, pueblos pesqueros ...El Norte de Amsterdam es la zona más rural de Holanda y más tranquila para pedalear. 
Desde 800 € ";"El norte de Holanda es la zona más deshabitada. Casi todo ese terreno se ganó al mar en el siglo 17 y todavía algunos de los molinos que elevaban el agua continuan funcionando.
Conocerá Enkhuizen, Hoorn, Volendam y Edam, algunos de los pueblos más típicos de Holanda donde se concentran todas las tradicionales costumbres holandesas.
Irá a la isla de Texel, una reserva natural con miles de ovejas. De vuelta a tierra, pedaleará en las dunas y playas de Schoorl, los únicos kilómetros sobre el nivel del mar.
Alkmaar es la ciudad del mercado tradicional del queso.
Un recorrido en barco por Amsterdam sirve para finalizar el viaje. El alojamiento será en barcos-hoteles que nos van acompañando cerca de la ruta. Los guías se encargan de ayudarle en todo, los desayunos, y las cenas son abundantes y muy ricas a bordo del barco. Las comidas se entregan antes de salir del barco para comer en ruta.
Las rutas son aptas para cualquier ciclista, son recorridos fáciles que pueden ser ampliados o acortados porque hay multitud de posibilidades por donde circular fácilmente en bicicleta.
";"Norte de Amsterdam
800 €
Individual 1030 €
Comisión 18%

";;"VCA";"000008";"000008";"02";"04";"AG";"000006";639,60;;;800,00;-1;1;;"0004";;;1;2;-1;;;800,00;;;"

";;"8 días y 7 noches";"

"
"0000000010";"Holanda: Sur de Amsterdam";"Holanda en bici relajadamente";"Bello recorrido por las ciudades más interesantes al sur de Amsterdam. Recorrido relajado para disfrutar con calma de este país.
Desde 830 € ";"El Sur de Holanda está más habitado que el Norte, donde hay más naturaleza. En el Sur tenemos ciudades históricas, podemos ver varios museos y pasamos por ciudades importantes como La Haya y Rotterdam.

Este viaje tiene tres categorías de barco y dos circuitos:
- El recorrido ""Sur de Amsterdam"" se hace similar al descrito abajo, pero en sentido inverso a las agujas del reloj, empezando por Haarlem y visitando también, Leiden, Delft, y añadiendo ciudades cómo La Haya y Rotterdam. Todas las rutas son de 40 a 50 kilómetros y no es apto con niños.
- El recorrido ""Sur de Amsterdam RELAX"" tiene un kilometraje más corto y fácil de hasta 40 kms. que permite ver las ciudades o descansar. Es un viaje apto para niños.
Este viaje se hace en sentido de las agujas del reloj, cómo viene descrito abajo.

Un recorrido en barco por Amsterdam sirve para finalizar el viaje. El alojamiento será en barcos-hoteles que nos van acompañando cerca de la ruta.
Hay tres categorías de barcos en estos dos recorridos, todos los barcos tienen ducha privada, pero un distinto nivel de lujo. Los barcos de categoría Standard plus tienen camas en literas, los otros dos categoría tienen las dos camas bajas con el barco de categoría Confort plus siendo el más cómodo y lujoso.
Los guías se encargan de ayudarle en todo, los desayunos, y las cenas son abundantes y muy ricas a bordo del barco. Las comidas se entregan antes de salir del barco para comer en ruta.
Las rutas son aptas para cualquier ciclista, son recorridos fáciles que pueden ser ampliados o acortados porque hay multitud de posibilidades por donde circular fácilmente en bicicleta.
";"Sur de Amsterdam
Standard 780 €

Sur Relax
Comfort 820 € 
Confort de Luxe 895 €
";;"VCA";"000008";"000008";"02";"04";"AG";"000006";639,60;;;780,00;-1;1;;"0004";;;1;2;-1;;;830,00;;;"
";;"8 días y 7 noches";""
"0000000011";"Holanda: Norte y Sur de Holanda";"Lo mejor de Holanda en bici";"Viaje por lo mejor de estas zonas de Holanda. 
Además de servirle de alojamiento y acompañarle en sus paseos en bicicleta, el barco le llevará por pintorescos paisajes holandeses que no han cambiado desde el Siglo de Oro Holandés ... 
Desde 649 €";"Este recorrido es similar al ofrecido otros años con gran éxito y que recorre el sur y Norte de Holanda, viendo lo más típico de este país: canales, molinos, flores, carriles-bici, granjas, y además, disfrute también de las exposiciones especializadas sobre Rembrandt que ofrecen varios museos.

Este viaje tiene dos categorías de barco y dos circuitos:
- El recorrido ""Norte y Sur de Ámsterdam"" en barco Standard Plus, con camas literas y ducha privada, se hace similar al descrito abajo, pero en el sentido de las agujas del reloj, empezando por Uithoorn, Leiden, Haarlem, Alkmaar (2 noches), Purmerend y acabando en Amsterdam. Todas las rutas son de 50 kilómetros aprox. y no es apto con niños.
- El recorrido ""Norte y Sur de Ámsterdam RELAX"", en barco COMFORT WENDING, tiene un kilometraje más corto y fácil. Es el descrito abajo con rutas de 30 a 40 kms. en barco con camas bajas, ducha privada, mayor amplitud y calidad. Es apto para ir con niños. El 3 de Agosto ofrecemos este viaje con guía español especialmente para los clientes de Bike Spain Tours. 

Además de servirle de alojamiento y acompañarle en sus paseos en bicicleta, el barco le llevará por pintorescos paisajes holandeses que no han cambiado desde el siglo XVII, el Siglo de Oro Holandés.
El alojamiento será en barcos-hoteles que nos van acompañando cerca de la ruta. Los guías se encargan de ayudarle en todo, los desayunos, y las cenas son abundantes y muy ricas a bordo del barco. Las comidas se entregan antes de salir del barco para comer en ruta.
Las rutas son aptas para cualquier ciclista, son recorridos fáciles que pueden ser ampliados o acortados porque hay multitud de posibilidades por donde circular fácilmente en bicicleta. 
";"Barco: 
Muelle: 
Salida: fecha, 13.30h
Referencia: P



";;"VCA";"000002";"000002";"01";"04";"AG";"000006";529,20;;;659,00;-1;1;;"0004";;;1;2;-1;;;659,00;;;"";;"8 días y 7 noches";"FECHAS (sábados): 
 Mayo 18
 Junio 15
 Julio 27
 Agosto 31
 Septiembre 07



"
"0000000012";"Holanda: en bici y hotel";;;;"Tour:
Hotel: 
Cuidad: 
Fechas:

Precio no incluye alquiler de bicicletas - a pagar en hotel";;"VCA";"000008";"000008";"02";"04";"AG";"000006";258,30;;;315,00;-1;;;"0004";;;;;;;;;;;;;;
"0000000013";"Seguro Básico Europa para españoles";;;;"Seguro Cap Arag Asistencia en viaje.";;"SS";"000106";"000106";"01";"04";"AG";"000006";4,32;;;15,00;-1;;;"0006";;;;;0;;;-9999999999,00;;;;;;
