"0000000003";1;1;"Día 1 Amsterdam";"";"Embarcación sobre las 16pm cerca de la estación Central y recorrido por la ciudad para introducirnos al pais y a la forma de montar en bicicleta por los numerosos carriles bicicleta. En la cena se explicarán las rutas para toda la semana.
Documentación y guías en idioma inglés.
Ruta de aprox. 20 Km.";
"0000000003";1;2;"Day 1 Amsterdam";"";"Craft on them 16pm near the main station and crossed by the city to interfere to the country and to the way of mounting in bicycle for the numerous rails bicycle. In the dinner the routes will be explained for the whole week.
 Documentation and guides in language Englishman.
 Route of aprox. 20 km.";
"0000000003";2;1;"Día 2 Amsterdam-Volendam";"";"Salimos en barco hasta el barrio Norte, donde cogemos las bicicletas por zonas rurales del Waterland hasta la isla de Marken conectada con tierra en 1957, por eso conserva tan bien su pasado. Su tranquilidad se respira en cada rincón, pues no se permite el paso a coches. Continuamos hasta Monnickendam, histórico pueblo por el comercio que tenía con el Báltico. Después llegamos a Volendam donde las gentes visten los tradicionales trajes.
Ruta de aprox. 42 kms";
"0000000003";3;1;"Día 3 Volendam-Enkhuizen";"";"Se puede navegar en el barco hasta Hoorn, o comenzar desde aquí la ruta de 58km.
Se pasa por Edam, otra histórica ciudad más famosa por el queso envuelto en cera roja. Continuamos por canales donde se aprecia el sistema de bombeo de agua y llegamos a Hoorn, ciudad de gran tradición marinera, desde donde salían los numerosos barcos hacia las colonias de Dutch East Indies (Indonesia). Más al norte está Enkhuizen también ciudad de la edad de Oro holandesa que entró en decline cuando se cerró en 1932 el mar Zuiderzee. 
Ruta de aprox. 58 km. o de 27 Km. desde Hoorn.";
"0000000003";4;1;"Día 4 Enkhuizen-Texel";"";"Tras visitar el Zuiderzeemuseum, un precioso museo al aire libre que recrea la vida en el pasado de los puertos pesqueros de esta zona, hoy vamos a la isla de Texel y vemos de camino, el Afsluitdijk, un gran dique de 30 kms. la mayor obra de ingenieria hecha para ganar terreno al mar, convirtiendo el mar del sur o Zuidersee en el lago IJseel 
Ruta de aprox. 43 km.";
"0000000003";5;1;"Día 5 Texel";"";"Ruta circular en esta isla de 20 kms. de largo por 5 de ancho. Es una isla protegida con largas playas con dunas, con pequeños pueblos con museos, con una gran colonia de aves migratorias y famosa por una raza especial de ovejas que ayuda a producir el conocido queso de Texel.
Vuelta en la isla de 66 kms.";
"0000000003";6;1;"Día 6 Texel-Alkmaar";"";"Embarcamos hacia tierra firme y vamos a Den Helder donde comenzamos la ruta. Den Helder es un puerto naval holandés y es la entrada del canal que permite a los grandes barcos ir a Amsterdam. Por el lago IJssel pueden tocar fondo.
La ruta cruza las mayores dunas del mar del Norte y tendremos vistas espectaculares del mar. Por campos de tulipanes, floridos en Abril y Mayo, llegamos a Alkmaar, la ciudad del queso, con casas tradicionales y buen ambiente de cafés y bares.

Rutas opcionales de 30/40 o 58 km.";
"0000000004";1;1;;;;
"0000000006";1;1;"Day 1 Leon";"";"From Madrid, we’ll travel by van through the Sierra de Guadarrama and over the fertile plains of Castile to the historic city of León, founded in 68 B.C. and home to the cathedral with the most beautiful stained glass windows in Spain. On the way, we will stop for lunch in Rueda, famous for its exquisite white wine, Verdejo. We’ll spend the late afternoon visiting the Cathedral, wandering around the winding, slate-paved streets of the Barrio Húmedo (renowned for some of the best tapas bars in Castile); and, before dinner, we’ll head to the Madres Carbajales convent to get that all-important piece of documentation that will record our pilgrimage – the Credencial del Peregrino.
";
"0000000006";2;1;"Day 2 León - Astorga";"48 km, gently rolling terrain";"The day begins with a quick visit to the Parador of San Marcos, which was established as a pilgrim’s hospital in the sixteenth century, but which now serves as a luxury hotel. From there, we’ll start our trip winding westward through small towns whose economies, for centuries, were dependent on the pilgrims making their way westward along the Camino. Today’s riding is a good warm up for the next couple of days, as we go through the western plains of Castile towards the mountains that mark the border between Castile and Galicia. Our hotel for the evening is located in the town of Astorga, famous internationally for the Archbishops’ Palace (designed by Antoní Gaudí, creator of Barcelona’s Sagrada Familia), the Town’s Cathedral…and some of the most delicious chocolate.";
